pub,主题码,主题名,标题_中文,country,year
US8489185B2,C8,神经刺激监测装置,成对塑性的定时控制,美国,2009
US8533042B2,C8,神经刺激监测装置,神经反应刺激与刺激属性共振估计器,美国,2008
US8538537B2,C8,神经刺激监测装置,用于提供靶向神经刺激治疗以解决神经病症，包括神经精神疾病和神经精神疾病的系统和方法,美国,2008
US8862236B2,C8,神经刺激监测装置,通过修改特定神经系统通路来恢复和/或改善神经系统功能的方法和设备,美国,2013
US8874218B2,C8,神经刺激监测装置,具有由心动周期决定的信号持续时间的神经刺激,美国,2013
US8918178B2,C8,神经刺激监测装置,无创性迷走神经刺激治疗疾病,美国,2012
US8934967B2,C8,神经刺激监测装置,用于治疗耳鸣系统、方法和装置,美国,2009
US8983628B2,C8,神经刺激监测装置,无创性迷走神经刺激治疗疾病,美国,2012
US9033861B2,C8,神经刺激监测装置,治疗神经系统疾病低频神经刺激器,美国,2009
US9089707B2,C8,神经刺激监测装置,成对塑性的系统、方法和装置,美国,2009
US9138579B2,C8,神经刺激监测装置,通过修改特定神经系统通路来恢复和/或改善神经系统功能的方法和设备,美国,2014
US9215298B2,C8,神经刺激监测装置,患者控制的大脑修复系统及其使用方法,美国,2014
US9272145B2,C8,神经刺激监测装置,成对塑性的定时控制,美国,2013
US9336535B2,C8,神经刺激监测装置,神经反应数据同步,美国,2014
US9339654B2,C8,神经刺激监测装置,成对塑性的定时控制,美国,2014
US9433789B2,C8,神经刺激监测装置,一种远程神经调制脑刺激和反馈控制的方法、系统和装置,美国,2014
WO2004066820A2,C8,神经刺激监测装置,系统和方法用于降低所述的诱导络神经活性在神经刺激的可能性阈值测试步骤,世界知识产权组织,2004
WO2009018374A1,C8,神经刺激监测装置,神经-应答的刺激和刺激属性共振估计器,世界知识产权组织,2008
WO2009055127A1,C8,神经刺激监测装置,医用装置的配置基于在感测的脑信号;,世界知识产权组织,2008
WO2011013041A1,C8,神经刺激监测装置,系统和方法用于深脑刺激,世界知识产权组织,2010
WO2012027791A1,C8,神经刺激监测装置,分布的植入物系统,世界知识产权组织,2011
WO2017143185A1,C8,神经刺激监测装置,无线用于传感和刺激的神经植入系统,世界知识产权组织,2017
WO2021001851A1,C8,神经刺激监测装置,用于估计用户对刺激的响应的系统,世界知识产权组织,2020
WO2021121766A1,C8,神经刺激监测装置,脑-计算机接口,世界知识产权组织,2020
WO2021146774A1,C8,神经刺激监测装置,用于监测神经活动的系统和方法,世界知识产权组织,2021
WO2023033647A1,C8,神经刺激监测装置,基于刺激反应振幅权重确定人的感觉能力,世界知识产权组织,2022
WO2024124045A1,C8,神经刺激监测装置,用于脑状态刺激的系统和方法,世界知识产权组织,2023
WO2025034993A1,C8,神经刺激监测装置,响应运动的自适应深部脑刺激,世界知识产权组织,2024
WO2025083498A1,C8,神经刺激监测装置,使用血管内导线的神经刺激疗法试验,世界知识产权组织,2024
ATE849235T1,C9,经颅聚焦刺激装置,颅骨的系统和装置/脑机接口,其他,2008
CA2702944C,C9,经颅聚焦刺激装置,系统，用于颅骨/脑机接口方法和装置,加拿大,2008
CN104324446A,C9,经颅聚焦刺激装置,大鼠颅脑电刺激装置及其电极固定座,中国,2014
CN109260591A,C9,经颅聚焦刺激装置,经颅刺激方法和装置,中国,2018
CN109260591B,C9,经颅聚焦刺激装置,经颅刺激方法和装置,中国,2018
CN110215605A,C9,经颅聚焦刺激装置,脑部电极固定装置及套件,中国,2018
CN113436170B,C9,经颅聚焦刺激装置,基于磁共振影像的经颅电刺激个体化优化平台,中国,2021
CN117547357A,C9,经颅聚焦刺激装置,神经定位型治疗中枢神经系统疾病的颅内介入手术机器人,中国,2023
CN118902466A,C9,经颅聚焦刺激装置,一种经颈动脉颅内脑电信号探测导管,中国,2024
CN120305568A,C9,经颅聚焦刺激装置,具有自动调节功能的经颅交流电刺激方法及系统,中国,2025
CN120305568B,C9,经颅聚焦刺激装置,具有自动调节功能的经颅交流电刺激方法及系统,中国,2025
CN121371491A,C9,经颅聚焦刺激装置,-,中国,2025
CN121846521A,C9,经颅聚焦刺激装置,-,中国,2025
CN122097849A,C9,经颅聚焦刺激装置,基于脑电特征的经颅电刺激系统、装置及设备,中国,2026
DE602008047702T2,C9,经颅聚焦刺激装置,颅骨的系统和装置/脑机接口,德国,2008
EP2205313B1,C9,经颅聚焦刺激装置,颅骨的系统和装置/脑机接口,欧洲专利局,2008
JP2022521830A,C9,经颅聚焦刺激装置,用于临时记录颅内EEG的安装在床头的联合设备的系统和方法,日本,2020
JP7529685B2,C9,经颅聚焦刺激装置,用于安装在床边的用于临时记录颅内脑电图的组合装置的系统和方法,日本,2020
KR102035265B1,C9,经颅聚焦刺激装置,螺旋式电极与插头式导线连接,韩国,2018
KR102513099B1,C9,经颅聚焦刺激装置,使用个性化经颅电刺激改善认知功能的装置和方法,韩国,2022
US10188860B2,C9,经颅聚焦刺激装置,用于颅骨/脑界面的系统，方法和装置,美国,2016
US10596379B2,C9,经颅聚焦刺激装置,用于治疗神经系统疾病的装置和方法,美国,2016
US12011591B2,C9,经颅聚焦刺激装置,用于阿尔茨海默病和痴呆的经颅交流动态频率刺激(TACS)方法,美国,2023
US12144646B2,C9,经颅聚焦刺激装置,组装式下压多功能脑电图帽,美国,2021
US12263336B2,C9,经颅聚焦刺激装置,用于OUD和SUD的交流动态频率刺激系统及方法,美国,2021
US20020087201A1,C9,经颅聚焦刺激装置,实现患者神经功能持久改变的方法和装置,美国,2001
US20030097161A1,C9,经颅聚焦刺激装置,实现患者神经功能持久改变的方法和装置,美国,2002
US20030130706A1,C9,经颅聚焦刺激装置,实现患者神经功能持久改变的方法和装置,美国,2002
US20040102828A1,C9,经颅聚焦刺激装置,使用颅内电极用于神经刺激和/或脑电描记术的方法和系统,美国,2003
US20060195155A1,C9,经颅聚焦刺激装置,实现患者神经功能持久改变的方法和装置,美国,2006
US20060200206A1,C9,经颅聚焦刺激装置,实现患者神经功能持久改变的方法和装置,美国,2006
US20080046035A1,C9,经颅聚焦刺激装置,用于降低侵入性和/或增强神经刺激功效的电极结构和相关方法,美国,2007
US20080161879A1,C9,经颅聚焦刺激装置,实现患者神经功能持久改变的方法和装置,美国,2007
US20080215112A1,C9,经颅聚焦刺激装置,用于实现患者神经功能的持久改变的方法和设备,美国,2007
US20090112277A1,C9,经颅聚焦刺激装置,用于颅骨/脑界面的系统，方法和装置,美国,2007
US20090112278A1,C9,经颅聚焦刺激装置,用于颅骨/脑界面的系统，方法和装置,美国,2008
US20090112279A1,C9,经颅聚焦刺激装置,用于颅骨/脑界面的系统，方法和装置,美国,2008
US20090292344A1,C9,经颅聚焦刺激装置,用于颅内神经刺激和/或感测的方法和系统,美国,2009
US20140296646A1,C9,经颅聚焦刺激装置,用于颅骨/大脑接口系统、方法和装置,美国,2014
US2020069959A1,C9,经颅聚焦刺激装置,通过经颅疗法组合重构大脑神经通路,美国,2018
US20210213279A1,C9,经颅聚焦刺激装置,用于脑室和脑血管系统内的电生理记录和神经刺激的适形电极阵列,美国,2020
US20230050715A1,C9,经颅聚焦刺激装置,个性化共振频率下的最小神经元激活阈值经颅磁刺激,美国,2022
US6006124A,C9,经颅聚焦刺激装置,放置脑电极的装置和方法,美国,1998
US7010351B2,C9,经颅聚焦刺激装置,实现患者神经功能持久改变的方法和装置,美国,2001
US7302298B2,C9,经颅聚焦刺激装置,使用颅内电极用于神经刺激和/或脑电描记术的方法和系统,美国,2003
US7577481B2,C9,经颅聚焦刺激装置,用于实现患者神经功能的持久改变的方法和设备,美国,2006
US8412302B2,C9,经颅聚焦刺激装置,颅内神经接口系统,美国,2011
US8700142B2,C9,经颅聚焦刺激装置,脑功能扫描系统,美国,2008
US8718777B2,C9,经颅聚焦刺激装置,用于颅内神经刺激和/或感测的方法和系统,美国,2009
US8718778B2,C9,经颅聚焦刺激装置,用于神经颅电刺激装置和方法,美国,2008
US8761889B2,C9,经颅聚焦刺激装置,用于颅骨/大脑接口系统、方法和装置,美国,2008
US8965513B2,C9,经颅聚焦刺激装置,用于颅骨/大脑接口系统、方法和装置,美国,2008
US9179850B2,C9,经颅聚焦刺激装置,用于颅骨/大脑接口的系统、方法和设备,美国,2007
US9597494B2,C9,经颅聚焦刺激装置,用于颅骨/大脑接口系统、方法和装置,美国,2016
US9867978B1,C9,经颅聚焦刺激装置,用于脑室电生理记录和神经刺激的共形电极阵列,美国,2017
WO2009067323A1,C9,经颅聚焦刺激装置,系统，方法和装置用于一种颅骨\/脑接口,世界知识产权组织,2008
WO2019211314A1,C9,经颅聚焦刺激装置,神经接口系统,世界知识产权组织,2019
WO2020205677A1,C9,经颅聚焦刺激装置,用于放置在床头以临时记录颅内EEG的单元化设备的系统和方法,世界知识产权组织,2020
WO2022020045A1,C9,经颅聚焦刺激装置,用于阿尔茨海默病和痴呆的经颅交流动态频率刺激(TACS)系统和方法,世界知识产权组织,2021
CN110139597A,C10,神经信息分析诊断,利用神经生理信号进行迭代分类的系统和方法,中国,2017
CN110139597B,C10,神经信息分析诊断,利用神经生理信号进行迭代分类的系统和方法,中国,2017
CN110325237A,C10,神经信息分析诊断,用神经调制增强学习的系统和方法,中国,2017
CN118335343A,C10,神经信息分析诊断,一种脑深部区域刺激效果模拟方法及其系统,中国,2024
CN121795928A,C10,神经信息分析诊断,基于颅内脑电信号的反馈式神经康复设备,中国,2026
EP3304255A1,C10,神经信息分析诊断,通过脑机接口进行图像分类,欧洲专利局,2016
EP3558102A4,C10,神经信息分析诊断,使用神经生理学信号进行迭代分类的系统和方法,欧洲专利局,2017
EP3558102B1,C10,神经信息分析诊断,使用神经生理学信号进行迭代分类的系统和方法,欧洲专利局,2017
IL267518B1,C10,神经信息分析诊断,使用神经生理学信号进行迭代分类的系统和方法,以色列,2019
IL267518B2,C10,神经信息分析诊断,使用神经生理学信号进行迭代分类的系统和方法,以色列,2019
JP2020502683A,C10,神经信息分析诊断,使用神经生理信号进行迭代分类的系统和方法,日本,2017
JP2020502683A5,C10,神经信息分析诊断,使用神经生理信号进行迭代分类的系统和方法,日本,2017
JP2022502231A,C10,神经信息分析诊断,基于深度神经网络的心理行为属性识别电子装置,日本,2019
JP6998959B2,C10,神经信息分析诊断,使用神经生理学信号进行重复分类的系统和方法,日本,2017
US10067565B2,C10,神经信息分析诊断,用于识别潜在地引起扣押的虚拟现实内容的方法和装置,美国,2016
US10068248B2,C10,神经信息分析诊断,用于刺激材料引入的受控和自动注意力分析,美国,2016
US10206597B2,C10,神经信息分析诊断,高性能并使神经元损伤最小化的神经探针阵列,美国,2016
US10542904B2,C10,神经信息分析诊断,用于家庭神经记录的系统和方法,美国,2016
US11580409B2,C10,神经信息分析诊断,使用神经生理信号进行迭代分类的系统和方法,美国,2017
US12001607B2,C10,神经信息分析诊断,使用神经生理学信号进行迭代分类的系统和方法,美国,2023
US12599332B2,C10,神经信息分析诊断,通过可穿戴设备对糖质流动和神经变性进行非侵入性评估,美国,2024
US20020002390A1,C10,神经信息分析诊断,具有数据通信链路的可植入神经刺激器,美国,2001
US20090030930A1,C10,神经信息分析诊断,神经信息存储系统,美国,2008
US20110105937A1,C10,神经信息分析诊断,刺激材料导入的控制注意和自动注意分析,美国,2009
US20150310750A1,C10,神经信息分析诊断,用于验证人的反应的有效性的方法,美国,2013
US2019090771A1,C10,神经信息分析诊断,基于神经映射预测思维,美国,2017
US20200193299A1,C10,神经信息分析诊断,使用神经生理信号迭代分类的系统和方法,美国,2017
US2020077902A1,C10,神经信息分析诊断,用于检测损坏或不准确的感觉表征的系统和方法,美国,2019
US2020163571A1,C10,神经信息分析诊断,视频游戏中的个性化刺激放置,美国,2019
US2023344907A1,C10,神经信息分析诊断,用于处理、管理和使用神经信号数据的系统和方法,美国,2023
US20250331928A1,C10,神经信息分析诊断,集成电生理监测的外科影像引导系统,美国,2025
US6360122B1,C10,神经信息分析诊断,用于可植入装置的数据记录方法,美国,2000
US8386312B2,C10,神经信息分析诊断,神经信息存储系统,美国,2008
US8655428B2,C10,神经信息分析诊断,神经反应数据同步,美国,2010
US9730642B2,C10,神经信息分析诊断,神经心理时空模式识别,美国,2015
WO03005899A2,C10,神经信息分析诊断,基于electroencepahlography系统和方法用于选择疗法和预测结果,世界知识产权组织,2002
WO2008137579A1,C10,神经信息分析诊断,神经-信息学储存库系统。,世界知识产权组织,2008
WO2020061517A1,C10,神经信息分析诊断,用于重复经颅磁刺激的基于脑电的技术,世界知识产权组织,2019
WO2020074972A1,C10,神经信息分析诊断,基于深度神经网络识别心理行为属性的电子设备,世界知识产权组织,2019
WO2023228131A1,C10,神经信息分析诊断,用于认知测试的具有定时同步接口的可穿戴设备的方法和装置,世界知识产权组织,2023
WO9745160A1,C10,神经信息分析诊断,通过调节大脑神经的可塑性方面的方法的迷走神经刺激,世界知识产权组织,1997
CA3192636A1,C11,睡眠脑电调控增强,量化注意力的方法和系统,加拿大,2021
CN110680314A,C11,睡眠脑电调控增强,基于脑电多参数的虚拟现实情境任务注意力测训系统,中国,2019
CN110680314B,C11,睡眠脑电调控增强,基于脑电多参数的虚拟现实情境任务注意力测训系统,中国,2019
CN111281379A,C11,睡眠脑电调控增强,经颅直流电刺激提升注意力广度的方法及装置,中国,2020
CN111870813A,C11,睡眠脑电调控增强,一种基于便捷式EEG设备的脑电刺激记忆力增强系统,中国,2020
CN112545532A,C11,睡眠脑电调控增强,用于脑电信号分类识别的数据增强方法及系统,中国,2020
CN112545532B,C11,睡眠脑电调控增强,用于脑电信号分类识别的数据增强方法及系统,中国,2020
CN115212422A,C11,睡眠脑电调控增强,一种基于摇晃刺激的睡眠调控系统及方法,中国,2022
CN115212454A,C11,睡眠脑电调控增强,程序性记忆快速增强装置及方法,中国,2022
CN115212454B,C11,睡眠脑电调控增强,程序性记忆快速增强装置及方法,中国,2022
CN117972412A,C11,睡眠脑电调控增强,-,中国,2023
CN118319329A,C11,睡眠脑电调控增强,-,中国,2024
CN118766414A,C11,睡眠脑电调控增强,一种基于跨模态脑功能连接图谱的书写能力脑指纹构建方法及系统,中国,2024
CN118925061A,C11,睡眠脑电调控增强,一种基于注意力状态的智能神经调控方法及系统,中国,2024
CN118925061B,C11,睡眠脑电调控增强,一种基于注意力状态的智能神经调控方法及系统,中国,2024
CN120873793A,C11,睡眠脑电调控增强,一种基于多模态信息融合的乘员晕动症预测方法,中国,2025
CN121219043A,C11,睡眠脑电调控增强,用于恢复运动功能和促进神经复原的神经调控/神经刺激系统,中国,2024
EP3005682A1,C11,睡眠脑电调控增强,通过意图操纵增强现实中的虚拟对象,欧洲专利局,2014
EP3602287A1,C11,睡眠脑电调控增强,基于神经模型的控制器,欧洲专利局,2018
EP4203793A1,C11,睡眠脑电调控增强,量化注意力的方法和系统,欧洲专利局,2021
GB2447640A,C11,睡眠脑电调控增强,睡眠阶段与监测干电极，和报警方法。,英国,2007
IN202411030077A,C11,睡眠脑电调控增强,确定脑机接口长期使用对神经功能和可塑性的影响,印度,2024
IN202441085806A,C11,睡眠脑电调控增强,面向个性化人机人工智能交互的神经适应性接口：一种基于生成对抗网络（GAN）增强的方法,印度,2024
IN202541115913A,C11,睡眠脑电调控增强,面向脑电图（EEG）情绪识别的自适应数据增强与深度特征融合网络,印度,2025
JP2016510230A5,C11,睡眠脑电调控增强,底座的脑回路用于诱导睡眠的体感刺激器,日本,2014
JP2020500567A,C11,睡眠脑电调控增强,脑刺激装置及其用途,日本,2017
KR101675875B1,C11,睡眠脑电调控增强,使用频谱分析和矢量量化的脑电图信号搜索方法和系统,韩国,2015
KR1020230171533A,C11,睡眠脑电调控增强,通过基于大数据的人工智能操作的脑电图传感器和近红外LED的大脑发育系统,韩国,2022
KR20170104602A,C11,睡眠脑电调控增强,调节人体血糖水平的系统和方法,韩国,2015
KR20200030937A,C11,睡眠脑电调控增强,用于测量注意力指数的装置和方法,韩国,2018
RU2704562C1,C11,睡眠脑电调控增强,用于在感知和处理信息时实时确定操作者注意力集中程度的装置,俄罗斯,2018
TR202002077A2,C11,睡眠脑电调控增强,禁用通信系统,其他,2020
US10736561B2,C11,睡眠脑电调控增强,基于神经模型的控制器,美国,2018
US10921888B2,C11,睡眠脑电调控增强,基于感觉诱发反应的注意力评估系统和方法,美国,2018
US11369770B2,C11,睡眠脑电调控增强,脑刺激装置及其用途,美国,2017
US11986649B2,C11,睡眠脑电调控增强,用于脑刺激和监测的系统、方法和设备,美国,2020
US20060129204A1,C11,睡眠脑电调控增强,癫痫和其它神经障碍中脑灌注的调节和分析,美国,2004
US20060265022A1,C11,睡眠脑电调控增强,癫痫和其它神经障碍中脑灌注的调节和分析,美国,2006
US20070249952A1,C11,睡眠脑电调控增强,用于睡眠监测的系统和方法,美国,2006
US2009082829A1,C11,睡眠脑电调控增强,患者导向的治疗控制,美国,2007
US2013131755A1,C11,睡眠脑电调控增强,患者导向的治疗控制,美国,2013
US2013324880A1,C11,睡眠脑电调控增强,听觉事件相关电位测量系统、听觉事件相关电位测量装置、听觉事件相关电位测量方法及其计算机程序,美国,2013
US20140057232A1,C11,睡眠脑电调控增强,用于在睡眠期间调节存储器合并的装置、系统和方法,美国,2013
US2015079560A1,C11,睡眠脑电调控增强,用于专注度和/或情绪的可穿戴监测与训练系统,美国,2014
US2015164361A1,C11,睡眠脑电调控增强,用于记忆增强的声音刺激器,美国,2014
US2016158553A1,C11,睡眠脑电调控增强,患者导向的治疗控制,美国,2016
US2016275726A1,C11,睡眠脑电调控增强,通过意图在增强现实中操纵虚拟对象,美国,2016
US2017340855A1,C11,睡眠脑电调控增强,用于刺激慢脑波的设备和方法,美国,2015
US2018146916A1,C11,睡眠脑电调控增强,基于神经模型的控制器,美国,2018
US2019069796A1,C11,睡眠脑电调控增强,基于脑电图的解码和闭环神经调控系统，用于评估和增强感觉运动学习,美国,2018
US2019216353A1,C11,睡眠脑电调控增强,用于向用户递送感觉刺激以增强用户认知域的系统和方法,美国,2018
US2019240491A1,C11,睡眠脑电调控增强,患者导向的治疗控制,美国,2019
US20210315508A1,C11,睡眠脑电调控增强,用提示反应性评估主动注意力,美国,2021
US20230190185A1,C11,睡眠脑电调控增强,用于精准精神科的高密度脑电系统,美国,2021
US2023371872A1,C11,睡眠脑电调控增强,用于量化注意力的方法和系统,美国,2021
US6272378B1,C11,睡眠脑电调控增强,一种确定睡眠简档的装置及方法,美国,1999
US7341562B2,C11,睡眠脑电调控增强,癫痫和其它神经障碍中脑灌注的调节和分析,美国,2004
US7892182B2,C11,睡眠脑电调控增强,癫痫和其它神经障碍中脑灌注的调节和分析,美国,2007
US8380314B2,C11,睡眠脑电调控增强,患者导向的治疗控制,美国,2007
US8437843B1,C11,睡眠脑电调控增强,一种新型脑电信号采集系统,美国,2006
US9248288B2,C11,睡眠脑电调控增强,患者导向的疗法控制,美国,2013
US9560984B2,C11,睡眠脑电调控增强,用于刺激材料引入的受控注意力和自动注意力分析,美国,2009
WO2009042379A1,C11,睡眠脑电调控增强,患者导向治疗控制,世界知识产权组织,2008
WO2009139119A1,C11,睡眠脑电调控增强,调节脑电图信号识别方法的设备、方法和程序,世界知识产权组织,2009
WO2018182827A1,C11,睡眠脑电调控增强,基于神经模型的控制器,世界知识产权组织,2018
WO2020037332A3,C11,睡眠脑电调控增强,通过神经反馈训练进行个性化学习和注意力评估的系统和方法,世界知识产权组织,2019
WO2026018957A1,C11,睡眠脑电调控增强,基于虚拟现实的认知训练系统,世界知识产权组织,2024
CN101631496A,C12,视觉脑电解码评估,用于评估商业传播的有效性的方法,中国,2006
CN106559625A,C12,视觉脑电解码评估,基于EEG对立体视频不同视差位置字幕舒适度评价方法,中国,2016
CN106709244A,C12,视觉脑电解码评估,一种静息态同步EEG‑fMRI的脑功能网络建模方法,中国,2016
CN109190658A,C12,视觉脑电解码评估,视频觉醒度分类方法、装置及计算机设备,中国,2018
CN109770896A,C12,视觉脑电解码评估,梦境图像重现方法、装置及存储介质、服务器,中国,2019
CN109875583A,C12,视觉脑电解码评估,一种基于AR技术的疲劳驾驶检测系统及方法,中国,2019
CN109891519A,C12,视觉脑电解码评估,信息处理装置、信息处理方法和程序,中国,2017
CN110151203A,C12,视觉脑电解码评估,基于多级雪崩式卷积递归网络EEG分析的疲劳驾驶识别方法,中国,2019
CN110151203B,C12,视觉脑电解码评估,基于多级雪崩式卷积递归网络EEG分析的疲劳驾驶识别方法,中国,2019
CN110569880A,C12,视觉脑电解码评估,一种利用人工神经网络模型对视觉刺激解码方法,中国,2019
CN112203083A,C12,视觉脑电解码评估,一种视频数据的质量等级确定方法和装置,中国,2020
CN112203083B,C12,视觉脑电解码评估,一种视频数据的质量等级确定方法和装置,中国,2020
CN112233199A,C12,视觉脑电解码评估,基于离散表征和条件自回归的fMRI视觉重构方法,中国,2020
CN112233199B,C12,视觉脑电解码评估,基于离散表征和条件自回归的fMRI视觉重构方法,中国,2020
CN112451833A,C12,视觉脑电解码评估,一种基于个性化音乐推荐器的驾驶疲劳检测缓解系统及方法,中国,2020
CN114732421A,C12,视觉脑电解码评估,一种基于脑电图谱的阿尔兹海默症治疗效果量化评估方法,中国,2022
CN114732421B,C12,视觉脑电解码评估,一种基于脑电图谱的阿尔兹海默症治疗效果量化评估方法,中国,2022
CN117204865A,C12,视觉脑电解码评估,基于欠阻尼二阶随机共振的稳态视觉诱发电位视觉疲劳量化方法,中国,2023
CN119205731A,C12,视觉脑电解码评估,一种自然图像的人脑认知文本描述生成方法及系统,中国,2024
CN119205731B,C12,视觉脑电解码评估,一种自然图像的人脑认知文本描述生成方法及系统,中国,2024
CN120437460A,C12,视觉脑电解码评估,基于脑电信号多模态特征识别的智能音乐调控系统及方法,中国,2025
CN121422395A,C12,视觉脑电解码评估,基于中枢-外周融合解码与轨迹闭环校正的康复系统,中国,2025
CN121422395B,C12,视觉脑电解码评估,基于中枢-外周融合解码与轨迹闭环校正的康复系统,中国,2025
CN121489505A,C12,视觉脑电解码评估,-,中国,2025
CN121814971A,C12,视觉脑电解码评估,基于视觉感知和语义一致性的fMRI视频神经解码方法,中国,2026
CN309976664S,C12,视觉脑电解码评估,-,中国,2025
EP4021291A1,C12,视觉脑电解码评估,功能磁共振图像数据采集系统,欧洲专利局,2020
EP4567640A1,C12,视觉脑电解码评估,脑电图信号处理方法、装置、计算机可读介质和计算机设备,欧洲专利局,2023
ES2318933B2,C12,视觉脑电解码评估,基于脑电波的实时警觉水平监测方法及其实现装置,其他,2006
IN202341046071A,C12,视觉脑电解码评估,使用人工智能和机器学习技术实现智能假肢手的方法,印度,2023
IN202411002741A,C12,视觉脑电解码评估,使用机器学习预测青光眼的方法,印度,2024
IN202411020509A,C12,视觉脑电解码评估,驾驶员实时监控和检测疲劳的脑机接口,印度,2024
IN202411089196A,C12,视觉脑电解码评估,基于物联网的用于青光眼检测的医疗保健管理护目镜,印度,2024
JP2022099933A,C12,视觉脑电解码评估,操作检测系统及操作检测方法,日本,2020
JP2022546345A,C12,视觉脑电解码评估,功能磁共振图像数据采集系统,日本,2020
JP7563745B2,C12,视觉脑电解码评估,操作检测系统和操作检测方法,日本,2020
KR101348233B1,C12,视觉脑电解码评估,额EOG测量系统,韩国,2012
KR1020220022390A,C12,视觉脑电解码评估,在MRI环境记录介质中基于具有眼睛注视跟踪的实时视场变化提供360全景视频的MRI360方法和用于执行该方法的装置,韩国,2020
KR1020250067429A,C12,视觉脑电解码评估,利用脑机接口技术检测处于微意识状态的患者脑反应的系统和方法,韩国,2023
KR20210016948A,C12,视觉脑电解码评估,改善用户疲劳的装置和方法,韩国,2019
US11464442B2,C12,视觉脑电解码评估,用于确定视频数据的质量等级的方法和装置,美国,2021
US12097332B2,C12,视觉脑电解码评估,在虚拟现实或多感官环境中生成和操作对象以保持用户积极状态的系统、设备和方法,美国,2023
US20100094702A1,C12,视觉脑电解码评估,用于评估商业通信的有效性的方法,美国,2006
US20140058483A1,C12,视觉脑电解码评估,使用不可察觉的闪烁多色光诱导视觉诱发电位的刺激产生方法、装置和控制系统,美国,2013
US20140207558A1,C12,视觉脑电解码评估,商用通信效能评估方法,美国,2013
US2014058241A1,C12,视觉脑电解码评估,用于评估神经认知状态的方法和装置,美国,2013
US2015313528A1,C12,视觉脑电解码评估,自比评估的验证过程,美国,2015
US2016120436A1,C12,视觉脑电解码评估,心理评估及使用方法,美国,2016
US2016235323A1,C12,视觉脑电解码评估,生理参数测量和反馈系统,美国,2014
US2020364741A1,C12,视觉脑电解码评估,神经反应刺激和刺激属性共振估计器,美国,2020
US2022091671A1,C12,视觉脑电解码评估,可穿戴扩展现实神经科学分析系统,美国,2021
US9060702B2,C12,视觉脑电解码评估,自比评估的验证过程,美国,2012
US9117124B2,C12,视觉脑电解码评估,驾驶注意力程度确定装置、方法及计算机程序,美国,2014
WO2011046665A1,C12,视觉脑电解码评估,神经接口系统,世界知识产权组织,2010
WO2019240564A1,C12,视觉脑电解码评估,用于获取生物统计数据的可拆卸功能模块及包括该模块的头戴式显示器,世界知识产权组织,2019
WO2025160631A1,C12,视觉脑电解码评估,便携式通信设备,世界知识产权组织,2025
AU2014225626B2,C13,多模态神经交互评估,多模态形状因素的生理脑健康的评估,澳大利亚,2014
CA2904264A1,C13,多模态神经交互评估,多模态形状因素生理脑健康的评估,加拿大,2014
CN102293647B,C13,多模态神经交互评估,一种联合脑电和功能磁共振信号的反馈系统,中国,2011
CN105592788A,C13,多模态神经交互评估,用于脑健康的多模态生理评估的形成因素,中国,2014
CN112070141A,C13,多模态神经交互评估,一种融合注意力检测的ssvep异步分类方法,中国,2020
CN112070141B,C13,多模态神经交互评估,一种融合注意力检测的ssvep异步分类方法,中国,2020
CN113729710A,C13,多模态神经交互评估,一种融合多生理模态的实时注意力评估方法及系统,中国,2021
CN113900520B,C13,多模态神经交互评估,一种虚拟现实多感知交互装置及方法,中国,2021
CN114091599A,C13,多模态神经交互评估,模态间密集交互深度神经网络情绪识别方法,中国,2021
CN114795209A,C13,多模态神经交互评估,一种分布式多模态情绪检测方法,中国,2022
CN115517687A,C13,多模态神经交互评估,基于多模态融合改善焦虑的特异性神经反馈系统,中国,2022
CN115736920A,C13,多模态神经交互评估,基于双模态融合的抑郁状态识别方法及系统,中国,2022
CN115736920B,C13,多模态神经交互评估,基于双模态融合的抑郁状态识别方法及系统,中国,2022
CN115956930A,C13,多模态神经交互评估,生物电信号采集测试方法、系统及设备,中国,2022
CN116400802A,C13,多模态神经交互评估,虚拟现实设备及多模态情绪识别方法,中国,2023
CN116522280A,C13,多模态神经交互评估,基于虚拟现实仿真采集的情绪分级识别方法及系统,中国,2023
CN116531637A,C13,多模态神经交互评估,一种睡眠调控系统,中国,2023
CN116595329A,C13,多模态神经交互评估,-,中国,2023
CN116595329B,C13,多模态神经交互评估,一种基于多自由度的速度想象双模态信号采集方法,中国,2023
CN116880701A,C13,多模态神经交互评估,基于全息设备的多模态交互方法及系统,中国,2023
CN116880701B,C13,多模态神经交互评估,基于全息设备的多模态交互方法及系统,中国,2023
CN118312857A,C13,多模态神经交互评估,一种基于多模态的情绪识别方法及系统,中国,2024
CN118503914A,C13,多模态神经交互评估,多模态情感数据集的构建方法及电子设备,中国,2024
CN119069081A,C13,多模态神经交互评估,一种基于人工智能方法的多模态实时心理健康分析系统,中国,2024
CN119069081B,C13,多模态神经交互评估,一种基于人工智能方法的多模态实时心理健康分析系统,中国,2024
CN119258400A,C13,多模态神经交互评估,一种基于多模式电磁和超声刺激的综合调控方法及系统,中国,2024
CN119357784A,C13,多模态神经交互评估,一种基于多模态卷积神经网络的情绪识别装置,中国,2024
CN119440250A,C13,多模态神经交互评估,-,中国,2024
CN119949829A,C13,多模态神经交互评估,一种基于多模态异构图卷积神经网络的情绪障碍检测方法及装置,中国,2024
CN120085760A,C13,多模态神经交互评估,多模态ai眼镜视觉-脑电协同控制方法、装置及设备,中国,2025
