pub,title,title_zh,摘要_中文,申请日,app_year,country,pub_date,主IPC分类号,IPC分类号,数据来源,是否主路径
US8862236B2,Method and device to restore and/or improve nervous system functions by modifying specific nervous system pathways,通过修改特定神经系统通路来恢复和/或改善神经系统功能的方法和设备,本发明提供用于恢复或改善受试者神经系统功能的方法、装置和系统。 提供了一种方法，包括 : (i)提供有效地在受试者的初级靶向中枢神经系统(CNS)通路中产生靶向神经可塑性(TNP)的操作性条件反射方案； 和(ii)对受试者施用操作性条件反射方案，以在初级靶向中枢神经通路中诱发TNP，并在一个或多个其它中枢神经通路中诱发广义神经可塑性(GNP)。 在一个或多个其它中枢神经系统通路中GNP的激发用于恢复或改善受试者的神经系统功能。 提供了一种装置，包括神经刺激-肌电图记录部件和用于根据操作调节协议操作神经刺激-肌电图记录部件的控制器。,2013-08-02,2013.0,US,2014-10-14,A61N1/00,A61N1/00; A61B5/296; A61N1/36,incoPat,False
US7974696B1,Closed-loop autonomic neuromodulation for optimal control of neurological and metabolic disease,用于神经和代谢疾病最佳控制闭环自主神经调节,一种神经控制系统，用于调节一些或全部神经系统的任何组件或结构的活动，或与之连接的任何结构，在此通常称为“神经系统组件”。该系统产生通过一个或多个神经调节剂递送到神经系统组件的神经调节信号，以控制神经状态或自主状态，并防止神经或代谢体征和症状。 这样的治疗参数可以从对先前递送的神经调制信号的神经响应中导出，其中传感器被配置为感测指示神经学、精神病学或代谢状况的特定特征。,2005-07-23,2005.0,US,2011-07-05,A61N1/00,A61N1/00,incoPat,False
US7403820B2,Closed-loop feedback-driven neuromodulation,闭环反馈驱动神经调节,一种神经控制系统，用于调节包括整个或部分神经系统或与其接口的任何结构的任何部件或结构的活动，在此通常称为“神经系统部件”。神经控制系统根据治疗参数产生通过一个或多个神经调节器递送到神经系统部件的神经调节信号，所述神经调节器包括颅内(IC)刺激电极和其他致动器。 这样的治疗参数可以从对由一个或多个传感器感测的先前递送的神经调制信号的神经响应中导出，每个传感器被配置成感测指示神经或精神状况的特定特征。,2005-05-25,2005.0,US,2008-07-22,A61N1/00,A61N1/00; A61N1/08; A61N1/36; H03C3/06,incoPat,False
US7324851B1,Closed-loop feedback-driven neuromodulation,闭环反馈驱动的神经调节,一种用于调节包括整个或部分神经系统的任何部件或结构的活性的神经控制系统， 或与之连接的任何结构，在本文中通常称为A-神经系统组件。神经控制系统根据治疗参数产生通过一个或多个神经调节剂递送到神经系统组件的神经调节信号，所述神经调节剂包括颅内(IC)刺激电极和其它致动器。 所述治疗参数可以从对由一个或多个传感器感测的先前递送的神经调制信号的神经响应中导出，每个传感器被配置为感测指示神经或精神状况的特定特征。,2004-06-01,2004.0,US,2008-01-29,A61N1/00,A61N1/00,incoPat,False
US9138579B2,Method and device to restore and/or improve nervous system functions by modifying specific nervous system pathways,通过修改特定神经系统通路来恢复和/或改善神经系统功能的方法和设备,本发明提供用于恢复或改善受试者神经系统功能的方法、装置和系统。 提供了一种方法，包括 : (i)提供有效地在受试者的初级靶向中枢神经系统(CNS)通路中产生靶向神经可塑性(TNP)的操作性条件反射方案； 和(ii)对受试者施用操作性条件反射方案，以在初级靶向中枢神经通路中诱发TNP，并在一个或多个其它中枢神经通路中诱发广义神经可塑性(GNP)。 在一个或多个其它中枢神经系统通路中GNP的激发用于恢复或改善受试者的神经系统功能。 提供了一种装置，包括神经刺激-肌电图记录部件和用于根据操作调节协议操作神经刺激-肌电图记录部件的控制器。,2014-09-30,2014.0,US,2015-09-22,A61N1/00,A61N1/00; A61B5/00; A61B5/296; A61N1/04; A61N1/36,incoPat,False
US20160206883A1,SYSTEM AND METHOD FOR CURRENT STEERING NEUROSTIMULATION,用于电流操纵神经刺激系统和方法,提供了一种用于电流操纵神经刺激信号的系统和方法。 该系统和方法提供耦合到可植入脉冲发生器(IPG)的引线。 引线可以包括多个电极。 引线可以被配置为植入在接近感兴趣组织的目标位置处。 所述系统和方法对所述IPG进行编程，以将至少第一脉冲串递送到第一电极，并将第二脉冲串递送到第二电极。 第一脉冲列和第二脉冲列彼此交错，使得第一脉冲列和第二脉冲列形成激活电流密度分布，该激活电流密度分布被引导以覆盖感兴趣的组织。,2015-01-19,2015.0,US,2016-07-21,A61N1/05,A61N1/05; A61N1/36,incoPat,False
CN116077829A,Implantation devices and electrostimulators and electrode plating methods,植入装置和电刺激器以及电极电镀方法,本发明公开了一种植入装置和电刺激器及电极电镀方法，其中，植入装置包括：集成电路装置、电缆和电极阵列；集成电路装置包括脉冲发生模块和控制模块，脉冲发生模块用于产生电脉冲信号；控制模块与脉冲发生模块连接，用于响应电镀模式启动指令，获取电镀脉冲配置参数，根据电镀脉冲配置参数控制脉冲发生模块产生用于对电极阵列中待电镀电极进行电镀的电镀脉冲信号，控制模块还用于响应刺激模式启动指令，获取电刺激脉冲配置参数，根据电刺激脉冲配置参数控制脉冲发生模块产生电刺激脉冲信号。本发明的植入装置、电刺激器和电极电镀方法，可以维持柔性电极在成品阶段的表面洁净度，维持或增加电极表面电容值，提高电极使用寿命。,2023-01-18,2023.0,CN,2023-05-09,A61N1/36,A61N1/36; A61N1/05; C25D5/18; C25D7/00,incoPat,False
US9409011B2,Method of constructing an implantable microelectrode array,一种可植入微电极阵列的构建方法,可植入电极阵列组件，其经配置以将电刺激施加到所述脊髓。 所述装置的基本不导电层具有可沿所述脊髓定位的第一部分，所述第一部分包括多个第一开口。 该层具有包括多个第二开口的第二部分。 电极和迹线位于器件主体部分的外围部分内并与层相邻。 所述第一开口中的至少一个邻近所述电极中的每一个，以提供所述电极可通过其向所述脊髓提供电刺激的路径。 所述第二开口中的至少一个邻近所述迹线中的每一个，以提供迹线可通过其接收电刺激的路径。 至少一条迹线连接到每个电极，并配置成将迹线接收的电刺激传导到电极。,2014-06-30,2014.0,US,2016-08-09,A61N1/05,A61N1/05,incoPat,False
US12186556B2,Noninvasive electric brain stimulation system,无创脑电刺激系统,提供了用于电刺激的系统、装置和方法。该系统包括配置成放置在待刺激的身体区域附近的电极装置、配置成向电极装置提供电刺激信号的信号发生器、以及连接到信号发生器和电极装置的控制电路，电极装置包括以间隔开的关系布置并连接到信号发生器的多个电极元件，以便限定刺激的空间分辨率，控制电路确定指示由电极布置产生的刺激电场的轮廓的数据，以刺激所述身体区域中的至少一个期望目标，并且选择性地分配至少一对第一和第二有效电极，用于刺激每个目标，每个有效电极由一个或多个所述电极元件形成，并且使信号发生器能够操作每个所述分配的有效电极，以产生刺激电场。,2022-05-03,2022.0,US,2025-01-07,A61N1/36,A61N1/36; A61N1/04,incoPat,False
WO2022112908A1,CRANIODE,颅骨,颅骨以骨内方式定位，即部分或全部位于颅骨的骨内，而不穿透颅骨的内部，同时也位于头皮的下方。 颅骨可用于感测来自脑部的电信号，电刺激脑部，向脑部发射光信号，检测来自脑部的光信号，对脑部执行功能近红外光谱，以及对脑部执行光生物调节； 并且例如能够提供在日常生活中执行这些程序的能力。 为了解决连接性问题，每个颅骨可以连接到皮下缆线，或者可以装备有使其可连接到皮下缆线的特征，从而使得颅骨能够在实际生活设置中长期使用； 或者，有源电极可用于无线传输信号。 还提供了经皮和头皮下植入技术。,2021-11-18,2021.0,WO,2022-06-02,A61B5/00,A61B5/00; A61B5/293; A61B5/37,incoPat,False
US20200330749A1,"INTRACALVARIAL BCI SYSTEMS AND METHODS FOR THEIR MAKING, IMPLANTATION AND USE",颅骨内脑机接口系统及其制造、植入和使用的系统和方法,一种颅骨内植入物(ICI)包括一个或多个电极，用于感测哺乳动物大脑的电信号并电刺激大脑的一个或多个区域。所述电极植入颅骨的外板和内板之间而不完全穿透内板，至少一个参考电极，电子电路模块可操作地连接到一个或多个电极和参考电极，用于控制感测和刺激，至少部分处理感测到的电信号以获得数据、存储数据并将数据无线传输到外部接收器。ICI还包括能量收集装置，适当地电连接到ICI电子电路模块的一个或多个组件，用于为ICI的一个或多个组件供电。ICI系统包括一个或多个ICI和外部控制器。,2018-12-27,2018.0,US,2020-10-22,A61N1/05,A61N1/375; A61N1/05; A61N1/36,BCI,False
US20030093130A1,Multiplexed electrode array extension,多路复用电极阵列扩展,本发明提供了一种用于选择性地与患者的电可激组织相互作用的装置和方法。 所述装置包括具有多个发射脉冲信号的输出源的可植入脉冲发生器。 扩展单元将可植入脉冲发生器耦合到可植入电极阵列。 可植入电极阵列具有多个电极，其中电极的数量大于输出源的数量。 所述延伸单元被配置为将所述输出源电连接到所述电极的一部分。,2001-11-09,2001.0,US,2003-05-15,A61N1/18,A61N1/18; A61B5/308; A61N1/32; A61N1/34,incoPat,False
US9113801B2,Methods and systems for continuous EEG monitoring,用于连续脑电图监测的方法和系统,一种用于调节任何组件或结构（包括整个或部分神经系统，或与其接口的任何结构，本文统称为“神经系统组件”）活动的神经控制系统。该神经控制系统生成通过一个或多个神经调节器递送到神经系统组件的神经调节信号，以控制神经状态并预防神经体征和症状。此类治疗参数可源自对先前递送的神经调节信号的神经反应，该反应由一个或多个传感器感测，每个传感器配置为感测指示神经或精神状况的特定特征。,2006-12-29,2006.0,US,2015-08-25,A61B5/04,A61B5/04; A61N1/378; A61B5/0476; A61N1/05; A61B5/11; A61N1/36; A61B5/0488; A61B5/00; A61N1/372,BCI,False
US20210007602A1,BRAIN IMPLANT WITH SUBCUTANEOUS WIRELESS RELAY AND EXTERNAL WEARABLE COMMUNICATION AND POWER DEVICE,具有皮下无线中继和外部可穿戴通信与供电装置的脑植入物,描述了一种脑机接口，其中许多用于植入受试者大脑的柔性电极连接到配置为适合颅骨钻孔的圆柱形传感器设备。这些设备包含密封的电子器件，将模拟神经电压转换为数字信号，反之亦然，并通过串行电缆连接到乳突区域（受试者耳后）或其他合适位置的皮下中继器。中继器从外部佩戴设备获取电力并进行通信，并将电力分配给这些设备。外部佩戴设备通过无线方式或系绳与基站计算机通信，用于数据分析和/或刺激。,2020-07-10,2020.0,US,2021-01-14,A61B5/00,A61B5/04; A61B5/00,BCI,False
US20060149337A1,Systems and methods for tissue stimulation in medical treatment,医疗中用于组织刺激的系统和方法,对各种医学病症，例如神经病症的刺激治疗包括用于提供TMS，电，磁，光和其它刺激的新系统，策略和方法。 一些刺激方法包括改变刺激参数，以提高刺激的治疗功效，并降低习惯性和副作用的风险，例如干扰正常的脑，感觉，运动和认知过程。 刺激参数的产生和随后的变化可以使用感测到的数据来匹配，调整或避免刺激治疗相对于某些内源性脑活动的匹配特性。 本发明描述了用于选择，创建和随后用部分信号刺激的新方法，所述部分信号相加以产生具有独特时间模式和低或高频谱内容的治疗向量场。,2006-01-20,2006.0,US,2006-07-06,A61N1/18,A61N1/18,incoPat,False
US7734340B2,Stimulation design for neuromodulation,神经调节刺激设计,本申请涉及一种可用于治疗神经疾病的新刺激设计。 所述刺激系统产生突发模式刺激，所述突发模式刺激改变所述预定部位的神经元活动，从而治疗所述神经病症或紊乱。 突发刺激包括具有100毫秒的最大尖峰间间隔的多组尖峰脉冲。 所述突发刺激在所述多组尖峰脉冲之间被基本静止的时间段分开。 该组间间隔可以包括至少5秒。,2005-10-20,2005.0,US,2010-06-08,A61N1/36,A61N1/36,incoPat,False
US10124173B2,System for stimulation therapy of the vagus nerve by implementation of a self-adaptive state transition model based on physical or physiological levels,通过实现基于物理或生理水平的自适应状态转换模型来刺激迷走神经的系统,一种系统包括刺激装置，例如迷走神经刺激引线，和控制器，用于根据一组刺激参数控制刺激装置。 刺激装置的存储器包含状态转换模型，并且对于每个状态定义一组刺激参数和在使用所述参数进行刺激期间的至少一个预期响应。 矩阵根据测量的生理水平与目标水平确定状态之间的转换规则。 状态转换控制单元根据响应于当前状态的刺激参数的实现而获得的生理水平的规则，以有组织的及时方法确定状态之间的可能转换，并且从当前状态到新状态的转换导致用于刺激的参数集的相应变化。,2016-06-28,2016.0,US,2018-11-13,A61N1/36,A61N1/36; A61B5/00; A61B5/0205; A61N1/05; A61N1/365; A61N1/372; G06F19/00; G16H50/20; G16H50/50,incoPat,False
US10099056B2,System for stimulation therapy of the vagus nerve by implementation of a state transition model operating at multiple temporal or spatial resolutions,通过以多个时间或空间分辨率操作的状态转换模型的实现用于迷走神经的刺激治疗的系统,一种系统包括刺激装置，例如迷走神经刺激引线，和控制器，用于根据一组刺激参数控制刺激装置。 刺激装置的存储器包含状态转换模型，并且对于每个状态定义一组刺激参数和在使用所述参数进行刺激期间的至少一个预期响应。 矩阵根据测量的生理水平与目标水平确定状态之间的转换规则。 状态转换控制单元根据响应于当前状态的刺激参数的实现而获得的生理水平的规则，以有组织的及时方法确定状态之间的可能转换，并且从当前状态到新状态的转换导致用于刺激的参数集的相应变化。,2016-06-28,2016.0,US,2018-10-16,A61N1/36,A61N1/36; A61N1/05; A61N1/372,incoPat,False
US10092756B2,System for stimulation therapy of the vagus nerve by implementation of a state transition model,通过状态转换模型实现迷走神经刺激治疗的系统,一种系统包括刺激装置，例如迷走神经刺激引线，和控制器，用于根据一组刺激参数控制刺激装置。 刺激装置的存储器包含状态转换模型，并且对于每个状态定义一组刺激参数和在使用所述参数进行刺激期间的至少一个预期响应。 矩阵根据测量的生理水平与目标水平确定状态之间的转换规则。 状态转换控制单元根据响应于当前状态的刺激参数的实现而获得的生理水平上的规则，以有组织的及时方法确定状态之间的可能转换，并且从当前状态到新状态的转换导致用于刺激的参数集的相应变化。,2016-06-28,2016.0,US,2018-10-09,A61N1/36,A61N1/36; A61N1/05; G16H20/40,incoPat,False
US2018333582A1,"Devices, systems and methods for deep brain stimulation parameters",用于深部脑刺激参数的设备、系统和方法,本文展示和描述了使用针对一组独特的一个或多个症状和/或特定患者定制的刺激参数来提高深部脑刺激（DBS）功效和/或效率的设备、系统和方法。还公开了用于在非规则刺激模式期间记录相关神经活动的设备、系统和方法，以及用于这些记录信号的处理技术和基于这些神经记录的刺激参数优化，可用于调整刺激模式的计算模型以再现观察到的神经活动。,2018-07-20,2018.0,US,2018-11-22,A61B5/04,A61B5/04; A61N1/05; G06K9/00; A61N1/36; A61B5/00; G16H50/50,BCI,False
US20140296646A1,"SYSTEMS,  METHODS AND DEVICES FOR A SKULL/BRAIN INTERFACE",用于颅骨/大脑接口系统、方法和装置,本发明公开了用于通过聚焦通过颅骨/脑界面的刺激源来诱导神经调节的方法、装置和系统，所述刺激源为形成在颅骨中的孔、颅骨中的自然发生的开窗或经颅通道的形式。 进一步公开了用于识别在何处定位颅骨/脑接口的方法、装置和系统、可与接口一起使用的附件、以及用于控制通过接口递送的刺激的特征。 还公开了颅骨/脑界面的多个适应症，包括神经系统疾病和病症的诊断和治疗，例如癫痫、运动障碍、抑郁症、阿尔茨海默病、孤独症、昏迷和疼痛。,2014-03-24,2014.0,US,2014-10-02,A61N1/05,A61N1/05,incoPat,False
CN113457008A,Method and apparatus for neural stimulation of a patient,用于对患者进行神经刺激的方法和装置,本申请涉及一种用于对患者进行神经刺激的方法和装置。用于对患者进行神经刺激的方法包括：通过植入式电极检测患者的一个或多个脑部区域的生理活动信号；将检测到的所述生理活动信号与预设检测条件进行比较以确定所检测的生理活动信号是否属于异常生理活动信号；以及基于所述比较结果，控制是否通过所述植入式电极对所述一个或多个脑部区域施加电刺激。,2020-03-30,2020.0,CN,2021-10-01,A61N1/36,A61N1/36; A61N1/05; A61B5/369,incoPat,False
US9345886B2,Timing control for paired plasticity,成对塑性的定时控制,用于成对训练的系统、方法和设备包括定时控制，从而可以同时提供训练和神经刺激。 配对训练可包括治疗、康复和提高成绩的训练。 刺激神经，如迷走神经，影响皮层下区域，如基底核、蓝斑或杏仁核，可诱导大脑的可塑性，增强各种疗法的疗效，如用于治疗耳鸣、中风、外伤性脑损伤和创伤后应激障碍的疗法。,2014-09-26,2014.0,US,2016-05-24,A61N1/00,A61N1/00; A61F11/00; A61M21/00; A61M21/02; A61N1/36; G09B23/28; H04R25/00,incoPat,False
US9339654B2,Timing control for paired plasticity,成对塑性的定时控制,用于成对训练的系统、方法和设备包括定时控制，从而可以同时提供训练和神经刺激。 配对训练可包括治疗、康复和提高成绩的训练。 刺激神经，如迷走神经，影响皮层下区域，如基底核、蓝斑或杏仁核，可诱导大脑的可塑性，增强各种疗法的疗效，如用于治疗耳鸣、中风、外伤性脑损伤和创伤后应激障碍的疗法。,2014-09-29,2014.0,US,2016-05-17,A61N1/00,A61N1/00; A61F11/00; A61M21/00; A61M21/02; A61N1/36; A61N5/06; G09B19/00; G09B23/28; H04R25/00,incoPat,False
US9272145B2,Timing control for paired plasticity,成对塑性的定时控制,用于成对训练的系统、方法和设备包括定时控制，从而可以同时提供训练和神经刺激。 配对训练可包括治疗、康复和提高成绩的训练。 刺激神经，如迷走神经，影响皮层下区域，如基底核、蓝斑或杏仁核，可诱导大脑的可塑性，增强各种疗法的疗效，如用于治疗耳鸣、中风、外伤性脑损伤和创伤后应激障碍的疗法。,2013-07-15,2013.0,US,2016-03-01,A61N1/00,A61N1/00; A61F11/00; A61M21/00; A61M21/02; A61N1/36; G09B23/28; H04R25/00,incoPat,False
US9089707B2,"Systems,  methods and devices for paired plasticity",成对塑性的系统、方法和装置,用于成对训练的系统、方法和设备包括定时控制，从而可以同时提供训练和神经刺激。 配对训练可包括治疗、康复和提高成绩的训练。 刺激神经，如迷走神经，影响皮层下区域，如基底核、蓝斑或杏仁核，可诱导大脑的可塑性，增强各种疗法的疗效，如用于治疗耳鸣、中风、外伤性脑损伤和创伤后应激障碍的疗法。,2009-06-15,2009.0,US,2015-07-28,A61N1/00,A61N1/00; A61F11/00; A61M21/00; A61M21/02; A61N1/36; G09B23/28; H04R25/00,incoPat,False
US8934967B2,"Systems,  methods and devices for treating tinnitus",用于治疗耳鸣系统、方法和装置,用于成对训练的系统、方法和设备包括定时控制，从而可以同时提供训练和神经刺激。 配对训练可包括治疗、康复和提高成绩的训练。 刺激神经，如迷走神经，影响皮层下区域，如基底核、蓝斑或杏仁核，可诱导大脑的可塑性，增强各种疗法的疗效，如用于治疗耳鸣、中风、外伤性脑损伤和创伤后应激障碍的疗法。,2009-06-16,2009.0,US,2015-01-13,A61N1/00,A61N1/00; A61M21/02; A61N1/36; G09B23/28,incoPat,False
US2018093093A1,System to deliver adaptive epidural and/or subdural electrical spinal cord stimulation to facilitate and restore locomotion after a neuromotor impairment,用于在神经运动损伤后递送自适应硬膜外和/或硬膜下电脊髓刺激以促进和恢复运动的系统,本公开提供了一种用于实时控制硬膜外和/或硬膜下电刺激的闭环系统，包括用于向受试者施加具有可调刺激参数的神经调节的装置，所述装置可操作地连接到实时监测组件，该组件包括连续从受试者获取反馈信号的传感器，所述信号是神经信号和/或提供受试者运动特征的信号，所述系统可操作地连接到信号处理设备，该设备接收所述反馈信号并运行实时自动控制算法，所述信号处理设备可操作地连接到所述装置并向所述装置提供新的刺激参数，且延迟最小。本公开的系统改善了神经运动损伤受试者行走的一致性。使用实时自动控制算法，包括采用单输入单输出模型、多输入单输出模型或多输入多输出模型的前馈组件。,2017-09-27,2017.0,US,2018-04-05,A61B5/0488,A61B5/0488; A61B5/04; A61N1/05; A61B5/11; A61N1/36,BCI,False
DE102012002436A1,Apparatus and method for calibrating a non-invasive be neurostimulation,装置和程序用于该测量的一个不invasivendesynchronisierenden神经刺激,"本发明涉及一种装置(1)用于刺激神经元具有一种病理同步和振荡神经活性，所述的装置包括一种非-侵入性刺激单元(11)用于施加刺激(22)的刺激的患者的神经元，一种测量单元(12)用于记录测试信号(23)是表示一种该刺激神经元的神经活性，和一种控制和分析单元(10)。用于控制所述刺激单元(11)和分析该测试信号(23)。所述刺激单元(11)施加第一的刺激(34)，和基于所述测试信号(23)记录在反应到所应用的第一刺激(34)，第一所述病理刺激(34)使该相的同步和振荡该刺激神经元的神经活性以被复位为选择，随后该刺激单元(11)施加所选择的第一刺激(34)用的时间延迟，和所述测试信号(23)记录在反应到该刺激(34, 38)施加与所述时间延迟是用于以验证是否所述刺激(34, 38)与所述时间延迟施加抑制该病理同步和振荡该刺激神经元的神经活性。",2012-02-08,2012.0,DE,2013-08-08,A61N1/36,A61N1/36; A61N1/05; A61N1/08,incoPat,False
US7450992B1,Method for controlling or regulating therapeutic nerve stimulation using electrical feedback,使用电反馈控制或调节治疗神经刺激的方法,一种刺激系统，包括刺激源、可植入刺激引线、可植入传感装置和控制器。 刺激源产生刺激脉冲并将其传输到刺激引线上的刺激电极。 刺激电极将刺激脉冲传递到神经通路中的目标神经组织，以在人的身体的一部分中引起感觉异常。 每个刺激脉冲在神经通路中的多个神经纤维中诱导一个动作电位。 感测装置包括位于神经通路附近的感测电极，感测电极检测由刺激脉冲刺激的神经纤维的复合动作电位。 控制器基于检测到的复合动作电位修改由刺激源产生并由刺激电极递送到目标神经组织的刺激脉冲，以在人的身体的该部分中维持基本恒定的感觉异常水平。,2005-08-18,2005.0,US,2008-11-11,A61N1/34,A61N1/34,incoPat,False
US12605536B2,Thin film electrodes for brain computer interface and methods of microfabricating,脑机接口的薄膜电极及其微加工方法,本公开涉及一种单片薄膜引线组件以及微制造单片薄膜引线组件的方法。特别地，本公开的方面涉及一种单片薄膜引线组件，其包括具有近端、远端、从近端延伸到远端的支撑结构以及形成在支撑结构一部分上的导电图形的电缆。支撑结构包括一层或多层介电材料。单片薄膜引线组件还包括在电缆远端形成在支撑结构上的接口。接口包括与导电图形成电连接的电极和/或传感器，并且支撑结构具有设置在第一组电极和第二组电极之间和/或第一组传感器和第二组传感器之间的至少一个弯曲部分。,2021-03-18,2021.0,US,2026-04-21,A61N1/05,G06F3/01; H01B7/08; A61N1/05,BCI,False
CN118723920B,Manufacturing method of high-density flexible neural electrode array based on row and column addressing,基于行列寻址的高密度柔性神经电极阵列制造方法,本发明属于电气元件组件的制造技术领域，具体为基于行列寻址的高密度柔性神经电极阵列制造方法，包括聚偏氟乙烯滤膜的预处理，过滤纳米线图案，聚二甲基硅氧烷层的预处理，将带有列引线导电层的PDMS绝缘层和带有行引线导电层的PDMS基底层键合，PDMS封装层激光打孔后，将PDMS封装层与PDMS绝缘层键合，使行引线导电层的电极点和列引线导电层的电极点暴露并完成封装。行引线导电层中同一行的电极点共用同一根引线，列引线导电层中同一列的电极点共用同一根引线，使N×N电极阵列的引线数量从N²减少到2N，降低了线路的复杂性和成本，通过该方法制备的柔性神经电极阵列能显著提升脑电信号的采集效率和异常信号的定位精度。,2024-08-28,2024.0,CN,2024-11-22,B81C1/00,B81C1/00; B81B1/00; A61B5/293,incoPat,False
CN118723920A,Manufacturing method of high-density flexible neural electrode array based on row and column addressing,基于行列寻址的高密度柔性神经电极阵列制造方法,本发明属于电气元件组件的制造技术领域，具体为基于行列寻址的高密度柔性神经电极阵列制造方法，包括聚偏氟乙烯滤膜的预处理，过滤纳米线图案，聚二甲基硅氧烷层的预处理，将带有列引线导电层的PDMS绝缘层和带有行引线导电层的PDMS基底层键合，PDMS封装层激光打孔后，将PDMS封装层与PDMS绝缘层键合，使行引线导电层的电极点和列引线导电层的电极点暴露并完成封装。行引线导电层中同一行的电极点共用同一根引线，列引线导电层中同一列的电极点共用同一根引线，使N×N电极阵列的引线数量从N²减少到2N，降低了线路的复杂性和成本，通过该方法制备的柔性神经电极阵列能显著提升脑电信号的采集效率和异常信号的定位精度。,2024-08-28,2024.0,CN,2024-10-01,B81C1/00,B81C1/00; B81B1/00; A61B5/293,incoPat,False
US20220347473A1,"SYSTEMS,  METHODS AND DEVICES FOR A SKULL/BRAIN INTERFACE",用于颅骨/脑界面的系统，方法和装置,方法，装置和系统通过将刺激源聚焦通过形成于颅骨中的孔隙，颅骨中天然存在的开窗或经颅通道形式的颅骨/脑界面来诱导神经调节。 方法，装置和系统识别在哪里定位颅骨/脑接口，可与接口一起使用的附件，以及用于控制通过接口传递的刺激的特征。 颅骨/脑界面的多种适应症包括神经紊乱和病症的诊断和治疗，例如癫痫，运动紊乱，抑郁症，阿尔茨海默氏病，自闭症，昏迷和疼痛。,2022-06-29,2022.0,US,2022-11-03,A61N1/36,A61N1/36; A61B5/00; A61B8/08; A61B90/10; A61N1/04; A61N1/05; A61N1/20; A61N1/30; A61N5/06,incoPat,False
CN110215605A,Brain electrode fixation device and suite,脑部电极固定装置及套件,本发明公开了一种脑部电极固定装置及套件，它包括颅孔环，所述颅孔环包括用于将其固定在颅孔上的颅孔结合部，开设在所述颅孔结合部的中心部位并用于穿过脑部电极的电极孔，沿所述颅孔结合部的周向向外延伸的环部，环部的底面为弧面并贴合颅骨，环部上开设有至少两个螺钉连接孔，环部通过螺钉与颅骨相固定；颅孔电极锁，所述颅孔电极锁设置在所述电极孔内，颅孔电极锁上具有用于穿过并夹紧脑部电极的至少一个槽；颅孔盖，所述颅孔盖与所述颅孔环相连接并将所述颅孔电极锁封闭在所述电极孔内。本发明中颅孔环的厚度相较现有技术更薄，避免了植入后在病人头皮突出明显凸包；环部底面为弧面，植入时更加贴合有弧度的颅骨，保证了整体美观性。,2018-04-12,2018.0,CN,2019-09-10,A61N1/05,A61N1/05,incoPat,False
US9867978B1,Conformal electrode arrays for electrophysiologic recording and neural stimulation within the cerebral ventricles,用于脑室电生理记录和神经刺激的共形电极阵列,本公开涉及柔性脚手架上的电极阵列，其能够折叠成适于通过窄圆柱形通道展开的轴向构型。 电极阵列可以被放置在脑的心室系统中，构成用于脑内电活动的精确空间和时间定位以及脑组织的精确电刺激的微创平台，以在由脑内电活动异常引起的情况下诊断和恢复功能。,2017-05-03,2017.0,US,2018-01-16,A61M27/00,A61M27/00; A61B5/0478; A61N1/05; A61N1/36; A61N1/372,incoPat,False
US5501703A,Multichannel apparatus for epidural spinal cord stimulator,硬膜外脊髓刺激器的多通道装置,用于多通道硬膜外横向脊髓刺激的装置使用多通道脉冲发生器来驱动安装在导线远端附近的多个电极。 这些电极以通常垂直于引线轴线的一条或多条线安装，并且具有沿着引线的一个表面的平坦表面。 该电极与脊髓硬脑膜毗邻植入，电极横向并面向脊髓。 由脉冲发生器为每个通道产生的脉冲通常是同时的，具有相等的幅度和相等的持续时间，然而脉冲发生器被布置成使得每个通道的脉冲可以在时间上可选择地交替，可以可选择地具有不相等的幅度，或者两者兼而有之。 脉冲定时和幅度的变化允许在安装后移动电刺激场和由此产生的感觉异常模式，以适应不正确的导线放置或术后脱位，并最大限度地减少不想要的运动反应。,1994-01-24,1994.0,US,1996-03-26,A61N1/04,A61N1/04; A61N1/05; A61N1/32; A61N1/34,incoPat,False
US2025114024A1,Systems and methods for visualizing brain activity in real time at high spatial and temporal resolution,用于以高空间和时间分辨率实时可视化脑活动的系统和方法,一种用于实时可视化大脑(特别是皮层表面)电生理活动的设备和系统。神经设备可跨覆盖已识别解剖区域的整个电极阵列(跨越数千个电极)实时获取、处理和显示高时空分辨率的电生理数据。该系统与从神经组织记录而不损伤这些组织的薄膜皮层表面电极兼容。该系统可用于高精度地指导诊断和治疗行动，并为脑机接口提供基础。,2024-10-07,2024.0,US,2025-04-10,A61B5/00,A61B5/00; A61B5/293,BCI,False
WO2019130248A1,"INTRACALVARIAL BCI SYSTEMS AND METHODS FOR THEIR MAKING, IMPLANTATION AND USE",颅骨内脑机接口系统及其制造、植入和使用的系统和方法,一种颅骨内植入物(ICI)包括一个或多个电极，用于感测哺乳动物大脑的电信号并电刺激大脑的一个或多个区域。所述电极植入颅骨的外板和内板之间而不完全穿透内板，至少一个参考电极，电子电路模块可操作地连接到一个或多个电极和参考电极，用于控制感测和刺激，至少部分处理感测到的电信号以获得数据、存储数据并将数据无线传输到外部接收器。ICI还包括能量收集装置，适当地电连接到ICI电子电路模块的一个或多个组件，用于为ICI的一个或多个组件供电。ICI系统包括一个或多个ICI和外部控制器。,2018-12-27,2018.0,WO,2019-07-04,A61N1/05,A61B5/0478; A61N1/375; A61B5/00; A61N1/05; A61N1/36,BCI,False
